ds;USD;País;Último;Máxima;lag_Estadual
2016-05-01;3.1690251345229163;28.746112669674133;43732.00120114998;46849.36056610549;26.82748115808627
2016-06-01;3.2479903776737324;28.41224130871574;43529.05744739025;47441.06957469496;26.7198772076801
2016-07-01;3.2249624291406325;28.057114659529613;42356.41677490601;47986.0140059473;26.660529327960028
2016-08-01;3.134884187659915;27.75037217751505;40893.706288912785;43889.0024286238;25.75770258303152
2016-09-01;3.154409460247631;28.272870037313737;40174.313744132654;43076.58485459283;25.863316866294983
2016-10-01;3.220184119812944;28.73597958721196;40707.79521417624;42843.13944374688;26.086876133332204
2016-11-01;3.299067056141048;29.178541804522546;40039.194299188865;42090.37763742658;26.349351122412287
2016-12-01;3.360457954901678;29.488106293462067;42083.62660928525;43231.529969343654;26.605975515685262
2017-01-01;3.399206638081901;29.68040613518379;41034.79922512924;42679.753822485625;27.12104624574056
2017-02-01;3.2773967194011524;29.51729479957936;41006.69597177626;42095.58609332086;27.209769468585787
2017-03-01;3.3768467689835493;30.73307660752207;42231.22337365002;44529.14827935534;28.43918869706727
2017-04-01;3.4286709968594464;30.629719345430296;41821.45259753002;43337.288358959704;28.668129288093308
2017-05-01;3.467496949802842;30.380000661993318;40916.71262455603;43607.096381665404;28.52867372799362
2017-06-01;3.531477257135289;30.158658461638215;40234.21012864734;44260.49207100755;28.4126940281879
2017-07-01;3.515549878863335;29.774359409132334;38930.21391112849;44123.34834712906;28.40764400648758
2017-08-01;3.4501361840146743;29.457935153734624;37662.934588838456;40410.65637465408;27.524843689711435
2017-09-01;3.4909246987012224;29.92929439733767;36794.40495872366;39662.39734853638;27.519781481711412
2017-10-01;3.559416976909684;30.273247929925027;37501.82808945873;39255.8423988821;27.71677201232897
2017-11-01;3.583473815349;30.677074573095524;36527.6148142787;38534.036892208824;27.935217763715478
2017-12-01;3.6317467758200923;31.06524735855376;38548.174091997884;39417.231160066825;28.257024185003573
2018-01-01;3.681992519169827;31.410521864024886;37956.20603655991;39373.6073029835;28.85751716971231
2018-02-01;3.6379324545573057;31.61747573666213;38375.32893788708;39205.71999079503;29.195388286847802
2018-03-01;3.670142075305744;31.997128071097304;38119.243863372045;40281.71487487338;29.83037337431823
2018-04-01;3.756577533396965;32.136530273715714;38302.80860618599;39620.527398264625;30.30958529710512
2018-05-01;3.7652312191356003;32.019229155812454;38106.85332698911;40373.47721705828;30.232126654622522
2018-06-01;3.814808733854065;31.90800888933416;36933.07368230175;41073.31082406773;30.107219852112223
