Data;Cultivo;Estadual;País;Id;Último;Abertura;Máxima;Mínima
2020-05-01;Trigo;58.5592;51.776;2;52162.0;52238.0;52775.0;49388.0
2020-04-01;Trigo;55.6659;48.4257;2;52350.0;56725.0;57175.0;50688.0
2020-03-01;Trigo;51.6895;46.6197;2;56775.0;52525.0;58688.0;49212.0
2020-02-01;Trigo;49.2542;44.869;2;52525.0;55112.0;57038.0;51262.0
2020-01-01;Trigo;47.8641;42.2629;2;55338.0;55950.0;59238.0;54538.0
2019-12-01;Trigo;47.2077;41.2625;2;55938.0;54238.0;56462.0;51638.0
2019-11-01;Trigo;45.3791;39.8819;2;54212.0;50850.0;54588.0;49862.0
2019-10-01;Trigo;45.1586;40.4704;2;50875.0;49625.0;53488.0;48538.0
2019-09-01;Trigo;46.241;42.598;2;49550.0;46188.0;50088.0;45062.0
2019-08-01;Trigo;45.9317;42.3947;2;46138.0;48700.0;50538.0;45625.0
2019-07-01;Trigo;45.7953;42.0593;2;48650.0;53062.0;53138.0;48338.0
2019-06-01;Trigo;45.7368;41.7015;2;52600.0;50700.0;55712.0;48812.0
2019-05-01;Trigo;45.9271;42.1082;2;50488.0;42788.0;52162.0;41862.0
2019-04-01;Trigo;46.5432;42.7675;2;42900.0;45912.0;47738.0;42612.0
2019-03-01;Trigo;48.3579;42.9078;2;45850.0;45875.0;47788.0;42712.0
2019-02-01;Trigo;47.7089;42.4324;2;45875.0;51650.0;53112.0;45812.0
2019-01-01;Trigo;46.2317;41.6471;2;51650.0;50312.0;52888.0;50138.0
2018-12-01;Trigo;44.7561;40.8337;2;50300.0;52775.0;53850.0;50300.0
2018-11-01;Trigo;42.8224;39.3789;2;51550.0;50075.0;52075.0;49550.0
2018-10-01;Trigo;43.1175;41.3037;2;50125.0;50975.0;52725.0;48550.0
2018-09-01;Trigo;46.5675;43.2511;2;51050.0;53775.0;54250.0;49525.0
2018-08-01;Trigo;47.3779;42.705;2;54650.0;55450.0;59300.0;51300.0
2018-07-01;Trigo;48.7581;42.8898;2;55450.0;50175.0;56500.0;47125.0
2018-06-01;Trigo;45.403;42.2471;2;50200.0;52450.0;53875.0;46750.0
2018-05-01;Trigo;40.5298;39.1258;2;52475.0;51300.0;55400.0;48625.0
2018-04-01;Trigo;36.718;35.1015;2;51125.0;45400.0;51300.0;44575.0
2018-03-01;Trigo;34.5527;31.718;2;45175.0;49550.0;51850.0;44150.0
2018-02-01;Trigo;33.9062;30.9855;2;49250.0;45150.0;49950.0;43875.0
2018-01-01;Trigo;33.9666;31.1018;2;45150.0;42950.0;45875.0;41325.0
2017-12-01;Trigo;33.5301;31.1481;2;42750.0;43250.0;44275.0;41100.0
2017-11-01;Trigo;32.8023;31.0995;2;43438.0;41875.0;43900.0;40912.0
2017-10-01;Trigo;32.1369;30.9463;2;41850.0;44500.0;45050.0;41650.0
2017-09-01;Trigo;33.7082;31.7363;2;44825.0;43475.0;46275.0;42850.0
2017-08-01;Trigo;35.7295;32.852;2;43550.0;47225.0;47800.0;40075.0
2017-07-01;Trigo;33.8016;32.0929;2;47425.0;53962.0;57425.0;47200.0
2017-06-01;Trigo;31.7836;30.8765;2;52575.0;42938.0;52575.0;42162.0
2017-05-01;Trigo;31.3774;29.7605;2;42950.0;44150.0;46150.0;42050.0
2017-04-01;Trigo;31.4359;29.2245;2;43262.0;43050.0;43650.0;40025.0
2017-03-01;Trigo;31.5987;29.1481;2;42575.0;44300.0;46250.0;41700.0
2017-02-01;Trigo;32.2156;29.2203;2;44375.0;42125.0;46425.0;41725.0
2017-01-01;Trigo;33.5658;29.8658;2;42100.0;40838.0;43762.0;40500.0
2016-12-01;Trigo;33.9643;30.6594;2;40775.0;40375.0;42075.0;39275.0
2016-11-01;Trigo;34.5125;32.0119;2;40300.0;41600.0;42125.0;39275.0
2016-10-01;Trigo;35.8311;34.9649;2;41525.0;40050.0;42825.0;39175.0
2016-09-01;Trigo;39.9654;39.4358;2;40175.0;39150.0;41175.0;38975.0
2016-08-01;Trigo;44.5027;41.4788;2;38750.0;40775.0;43250.0;38125.0
2016-07-01;Trigo;44.9694;41.7124;2;40725.0;44538.0;45150.0;40375.0
2016-06-01;Trigo;43.5107;40.8723;2;44800.0;46338.0;52388.0;43800.0
2016-05-01;Trigo;40.9903;38.0361;2;46375.0;48675.0;49275.0;45500.0
2016-04-01;Trigo;40.439;35.896;2;48925.0;47375.0;51075.0;44625.0
2016-03-01;Trigo;39.2511;35.4753;2;47450.0;45338.0;47938.0;44238.0
2016-02-01;Trigo;38.9171;35.2207;2;45288.0;47625.0;48300.0;44662.0
2016-01-01;Trigo;37.3083;34.5886;2;47938.0;47250.0;48850.0;45613.0
2015-12-01;Trigo;37.4172;34.1096;2;46938.0;47463.0;49888.0;46563.0
2015-11-01;Trigo;37.3196;34.1128;2;47563.0;52138.0;53075.0;47513.0
2015-10-01;Trigo;35.6614;33.4012;2;52213.0;51238.0;53150.0;48363.0
2015-09-01;Trigo;33.4668;31.7091;2;51225.0;48413.0;51550.0;46313.0
2015-08-01;Trigo;33.4194;30.7555;2;48538.0;49713.0;52988.0;47613.0
2015-07-01;Trigo;33.2447;30.0001;2;49813.0;61425.0;61500.0;49388.0
2015-06-01;Trigo;34.2779;30.6499;2;61663.0;47800.0;61713.0;47413.0
2015-05-01;Trigo;34.6861;31.1876;2;47788.0;47613.0;52988.0;46113.0
2015-04-01;Trigo;33.3788;29.8062;2;47538.0;51338.0;54413.0;46413.0
2015-03-01;Trigo;30.661;27.2576;2;51288.0;51375.0;54038.0;47938.0
2015-02-01;Trigo;30.3178;27.1047;2;51200.0;50225.0;54663.0;49013.0
2015-01-01;Trigo;29.8312;26.8039;2;50325.0;58938.0;60350.0;49738.0
