Data,Estadual,País,USD,Previsão,Cultivo,model
2025-12-01,0.00,54.28,6.09,58.79,Trigo,PROPHET
2026-01-01,0.00,55.15,6.14,58.84,Trigo,PROPHET
2026-02-01,0.00,54.59,6.10,59.42,Trigo,PROPHET
2026-03-01,0.00,55.37,6.13,60.31,Trigo,PROPHET
2026-04-01,0.00,56.64,6.22,61.28,Trigo,PROPHET
2026-05-01,0.00,57.56,6.23,62.20,Trigo,PROPHET
2026-06-01,0.00,57.87,6.28,62.55,Trigo,PROPHET
2026-07-01,0.00,57.79,6.27,62.58,Trigo,PROPHET
2026-08-01,0.00,57.22,6.23,61.79,Trigo,PROPHET
2026-09-01,0.00,57.31,6.29,61.76,Trigo,PROPHET
2004-03-01,25.00,24.29,2.91,0.00,Trigo,PROPHET
2004-04-01,27.34,26.45,2.91,0.00,Trigo,PROPHET
2004-05-01,29.68,28.63,3.10,0.00,Trigo,PROPHET
2004-06-01,30.26,29.91,3.13,0.00,Trigo,PROPHET
2004-07-01,27.54,27.79,3.04,0.00,Trigo,PROPHET
2004-08-01,25.11,25.26,3.00,0.00,Trigo,PROPHET
2004-09-01,23.15,23.53,2.89,0.00,Trigo,PROPHET
2004-10-01,21.47,21.75,2.85,0.00,Trigo,PROPHET
2004-11-01,21.13,20.92,2.79,0.00,Trigo,PROPHET
2004-12-01,19.76,29.81,2.72,0.00,Trigo,PROPHET
2005-01-01,19.83,19.61,2.69,0.00,Trigo,PROPHET
2005-02-01,21.77,21.32,2.60,0.00,Trigo,PROPHET
2005-03-01,23.73,23.55,2.70,0.00,Trigo,PROPHET
2005-04-01,23.44,23.29,2.58,0.00,Trigo,PROPHET
2005-05-01,20.94,21.09,2.45,0.00,Trigo,PROPHET
2005-06-01,20.28,20.37,2.41,0.00,Trigo,PROPHET
2005-07-01,20.27,19.97,2.37,0.00,Trigo,PROPHET
2005-08-01,19.13,18.86,2.36,0.00,Trigo,PROPHET
2005-09-01,18.38,17.93,2.29,0.00,Trigo,PROPHET
2005-10-01,18.42,18.11,2.26,0.00,Trigo,PROPHET
2005-11-01,19.66,19.03,2.21,0.00,Trigo,PROPHET
2005-12-01,19.98,19.37,2.29,0.00,Trigo,PROPHET
2006-01-01,19.98,19.44,2.27,0.00,Trigo,PROPHET
2006-02-01,19.34,19.01,2.16,0.00,Trigo,PROPHET
2006-03-01,19.15,18.76,2.15,0.00,Trigo,PROPHET
2006-04-01,19.24,18.86,2.13,0.00,Trigo,PROPHET
2006-05-01,19.45,19.24,2.18,0.00,Trigo,PROPHET
2006-06-01,19.76,19.52,2.25,0.00,Trigo,PROPHET
2006-07-01,20.34,19.98,2.19,0.00,Trigo,PROPHET
2006-08-01,21.51,21.14,2.16,0.00,Trigo,PROPHET
2006-09-01,25.23,24.71,2.17,0.00,Trigo,PROPHET
2006-10-01,27.74,27.12,2.15,0.00,Trigo,PROPHET
2006-11-01,27.10,26.46,2.16,0.00,Trigo,PROPHET
2006-12-01,26.32,25.66,2.15,0.00,Trigo,PROPHET
2007-01-01,25.66,25.71,2.14,0.00,Trigo,PROPHET
2007-02-01,24.60,24.79,2.10,0.00,Trigo,PROPHET
2007-03-01,24.57,24.79,2.09,0.00,Trigo,PROPHET
2007-04-01,25.32,25.31,2.03,0.00,Trigo,PROPHET
2007-05-01,25.56,25.73,1.98,0.00,Trigo,PROPHET
2007-06-01,26.03,26.43,1.93,0.00,Trigo,PROPHET
2007-07-01,29.48,28.57,1.88,0.00,Trigo,PROPHET
2007-08-01,34.58,31.68,1.97,0.00,Trigo,PROPHET
2007-09-01,33.15,31.29,1.90,0.00,Trigo,PROPHET
2007-10-01,30.90,29.05,1.80,0.00,Trigo,PROPHET
2007-11-01,29.90,28.15,1.77,0.00,Trigo,PROPHET
2007-12-01,32.23,29.40,1.79,0.00,Trigo,PROPHET
2008-01-01,34.32,30.68,1.77,0.00,Trigo,PROPHET
2008-02-01,37.19,33.55,1.73,0.00,Trigo,PROPHET
2008-03-01,40.63,37.50,1.71,0.00,Trigo,PROPHET
2008-04-01,40.98,38.04,1.69,0.00,Trigo,PROPHET
2008-05-01,40.09,37.39,1.66,0.00,Trigo,PROPHET
2008-06-01,37.49,35.58,1.62,0.00,Trigo,PROPHET
2008-07-01,31.11,30.98,1.59,0.00,Trigo,PROPHET
2008-08-01,27.83,27.48,1.61,0.00,Trigo,PROPHET
2008-09-01,26.59,26.35,1.80,0.00,Trigo,PROPHET
2008-10-01,25.89,25.52,2.17,0.00,Trigo,PROPHET
2008-11-01,25.34,24.90,2.27,0.00,Trigo,PROPHET
2008-12-01,25.92,25.18,2.39,0.00,Trigo,PROPHET
2009-01-01,28.16,26.24,2.31,0.00,Trigo,PROPHET
2009-02-01,28.91,26.46,2.31,0.00,Trigo,PROPHET
2009-03-01,28.53,25.93,2.31,0.00,Trigo,PROPHET
2009-04-01,28.09,25.79,2.21,0.00,Trigo,PROPHET
2009-05-01,27.62,25.75,2.06,0.00,Trigo,PROPHET
2009-06-01,27.57,24.93,1.96,0.00,Trigo,PROPHET
2009-07-01,26.67,23.89,1.93,0.00,Trigo,PROPHET
2009-08-01,25.11,23.25,1.85,0.00,Trigo,PROPHET
2009-09-01,24.73,23.15,1.82,0.00,Trigo,PROPHET
2009-10-01,24.61,23.05,1.74,0.00,Trigo,PROPHET
2009-11-01,24.50,22.95,1.73,0.00,Trigo,PROPHET
2009-12-01,23.94,22.79,1.75,0.00,Trigo,PROPHET
2010-01-01,23.83,22.81,1.78,0.00,Trigo,PROPHET
